
| Time |: 2025-06-10 03:45:02.926934227	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.smu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: [한양] 를 검색했습니다.
| Time |: 2025-06-10 03:45:05.081992876	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.smu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://www.hanyang.ac.kr 을 조회했습니다.
| Time |: 2025-06-10 03:45:08.356937308	| IP |: 203.237.172.113	| SessionID |: 3A1EFDADBB761FAF11C337981EADE527	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:45:25.327672191	| IP |: 203.237.172.113	| SessionID |: 3A1EFDADBB761FAF11C337981EADE527	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.smu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:45:37.248876411	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://www.hanyang.ac.kr	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://www.hanyang.ac.kr 을 조회했습니다.
| Time |: 2025-06-10 03:45:42.729425738	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://www.hanyang.ac.kr	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:46:49.290311203	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.snu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:47:05.445480814	| IP |: 117.16.45.123	| SessionID |: FA06868063A2187A5580BBCACDADC451	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.smu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:47:38.642628050	| IP |: 203.237.172.113	| SessionID |: DDA9C24088B68FBB852B91CE9EC3DFB4	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://www.hanyang.ac.kr	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:50:54.742147933	| IP |: 117.16.45.154	| SessionID |: B35AADC02C99A14F3AFA3383955A9072	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	| Message |: [상명] 를 검색했습니다.
| Time |: 2025-06-10 03:50:57.943633090	| IP |: 117.16.45.154	| SessionID |: B35AADC02C99A14F3AFA3383955A9072	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:58:04.099935985	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/search/searchSection.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: [상명대] 를 검색했습니다.
| Time |: 2025-06-10 03:58:05.895948775	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:58:06.141111829	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:58:06.777278671	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:58:06.948231356	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
| Time |: 2025-06-10 03:58:26.201116143	| IP |: 203.237.172.113	| SessionID |: E3C3FB5B661596362276EE48195CDECB	| URI |: /WebServer/ServerTimeLegacy/main.jsp	| Previous |: http://52.63.87.207:8080/WebServer/ServerTimeLegacy/main.jsp?url=https://sugang.smu.ac.kr/	| Browser |: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36	| Message |: https://sugang.smu.ac.kr/ 을 조회했습니다.
